district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,host_response_rate_float,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,district,bathrooms,bath_text,other_bath,Entirehome/apt
District 37212,4.9,4.89,4.8,4.98,4.99,4.96,4.88,1.0,Entire home/apt,4,1 bath,2.0,2.0,"[""Microwave"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Fast wifi \u2013 391 Mbps"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""First aid kit"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smart lock"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$81.00,2,30,District 37212,1,bath,0,0
District 37212,5.0,5.0,4.96,5.0,4.91,5.0,4.88,1.0,Entire home/apt,6,3 baths,2.0,3.0,"[""Nespresso machine"", ""Microwave"", ""Wifi"", ""Freezer"", ""Host greets you"", ""Essentials"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""BBQ grill"", ""Portable fans"", ""First aid kit"", ""Pour-over coffee"", ""Dove body soap"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Piano"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$600.00,4,1125,District 37212,3,baths,0,0
District 37212,4.99,5.0,5.0,4.99,4.99,4.96,4.97,1.0,Entire home/apt,4,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Usually Dove body soap"", ""Baking sheet"", ""Private entrance"", ""HDTV with Apple TV"", ""Patio or balcony"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Clothing storage: dresser and closet"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Room-darkening shades"", ""Keurig coffee machine"", ""Luggage dropoff allowed"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dining table"", ""Shared garden or backyard"", ""Laundromat nearby"", ""Usually Dove conditioner"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$99.00,4,89,District 37212,1,bath,0,0
District 37212,4.85,4.92,4.79,4.96,4.92,4.93,4.76,1.0,Entire home/apt,6,1 bath,3.0,3.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Pocket wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Long term stays allowed""]",$111.00,1,1125,District 37212,1,bath,0,0
District 37212,4.71,4.89,4.64,4.86,4.86,4.86,4.68,1.0,Entire home/apt,4,1 bath,2.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Stove"", ""Fire extinguisher"", ""Travel Size shampoo"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Clothing storage: closet"", ""Free driveway parking on premises"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Portable fans"", ""Kitchen"", ""Central heating"", ""Hot water"", ""Ceiling fan"", ""Dishes and silverware"", ""Central air conditioning"", ""Oven"", ""Toaster"", ""Coffee maker"", ""Wine glasses"", ""Smoke alarm"", ""Dedicated workspace: office chair and table"", ""Long term stays allowed""]",$135.00,30,365,District 37212,1,bath,0,0
District 37212,4.86,4.89,4.71,4.96,4.95,4.87,4.8,1.0,Entire home/apt,8,3.5 baths,3.0,5.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Long term stays allowed""]",$259.00,2,90,District 37212,3,baths,0,0
District 37212,4.99,4.99,5.0,5.0,5.0,4.95,4.9,1.0,Entire home/apt,4,1 bath,1.0,2.0,"[""LG stainless steel induction stove"", ""Microwave"", ""50\"" HDTV with HBO Max, premium cable, standard cable"", ""Fast wifi \u2013 89 Mbps"", ""Freezer"", ""Keypad"", ""Outdoor dining area"", ""Essentials"", ""Samsung refrigerator"", ""Extra pillows and blankets"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Fire extinguisher"", ""Clothing storage: dresser and closet"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dove conditioner"", ""Samsung stainless steel oven"", ""Cable TV"", ""Dedicated workspace: table"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Private patio or balcony"", ""Room-darkening shades"", ""Keurig coffee machine"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""Dove body soap"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Central heating"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Laundromat nearby"", ""Dishes and silverware"", ""Central air conditioning"", ""Toaster"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Dove shampoo"", ""Smoke alarm"", ""Private garden or backyard"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$131.00,2,90,District 37212,1,bath,0,0
District 37212,4.96,4.98,4.95,4.99,4.99,4.99,4.89,1.0,Entire home/apt,6,2 baths,3.0,4.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Baby bath"", ""Essentials"", ""Baby monitor"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Crib"", ""Bed linens"", ""Babysitter recommendations"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Security cameras on property"", ""High chair""]",$214.00,2,21,District 37212,2,baths,0,0
District 37212,4.83,4.95,4.88,4.99,4.98,4.88,4.85,1.0,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Lockbox"", ""Private entrance"", ""Heating"", ""Stove"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Private patio or balcony"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Long term stays allowed""]",$127.00,1,1125,District 37212,1,bath,0,0
District 37212,4.95,4.96,4.97,4.97,4.99,4.96,4.87,1.0,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Shared patio or balcony"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$105.00,2,60,District 37212,1,bath,0,0
