district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,number_properties
District 37201,4.800399999999999,4.8427999999999995,4.7976,4.941800000000001,4.9232,4.736599999999999,4.738000000000001,50.0
District 37203,4.887872340425533,4.913404255319149,4.8746808510638315,4.919361702127661,4.934148936170212,4.901170212765958,4.808085106382976,94.0
District 37206,4.871,4.892,4.904,4.932,4.941000000000001,4.871,4.843,10.0
District 37208,4.892666666666667,4.8999999999999995,4.891333333333334,4.945333333333334,4.950666666666667,4.390000000000001,4.804666666666666,15.0
District 37211,4.87,4.925000000000001,4.825,4.975,4.975,4.55,4.779999999999999,2.0
District 37212,4.9308,4.961200000000001,4.893599999999999,4.949199999999999,4.9559999999999995,4.9364,4.8528,25.0
District 37219,4.800400000000001,4.842800000000002,4.7976,4.941799999999999,4.923199999999998,4.736599999999998,4.737999999999998,50.0
District 37221,4.98,4.97,4.98,4.99,5.0,4.94,4.95,1.0
District 37228,4.838,4.875333333333333,4.746666666666667,4.8580000000000005,4.9526666666666666,4.7780000000000005,4.834666666666666,15.0
District 37240,4.883333333333334,4.918333333333334,4.8691666666666675,4.953333333333334,4.9425,4.958333333333333,4.826666666666666,12.0
District 37243,4.800399999999999,4.842800000000002,4.7976,4.9418000000000015,4.923199999999999,4.736599999999998,4.738,50.0
District 37246,4.703333333333333,4.7700000000000005,4.758333333333333,4.816666666666666,4.806666666666667,4.631666666666667,4.5616666666666665,6.0
