district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,host_response_rate_float,district,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,bathrooms,bath_text,other_bath,Entirehome/apt
District 6,4.95,4.94,4.96,4.97,4.96,4.92,4.98,1.0,District 6,Private room,2,1 private bath,2.0,3.0,"[""Microwave"", ""Wifi"", ""Lock on bedroom door"", ""Host greets you"", ""Essentials"", ""Dryer \u2013 In building"", ""Extra pillows and blankets"", ""Hangers"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Washer \u2013\u00a0In building"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Portable fans"", ""First aid kit"", ""Pour-over coffee"", ""Kitchen"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$40.00,30,365,1,private,bath,1
District 18,4.94,4.97,4.96,4.99,4.98,4.94,4.94,1.0,District 18,Private room,2,1 private bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Hangers"", ""Heating"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Long term stays allowed""]",$60.00,1,29,1,private,bath,1
District 18,4.9,4.89,4.8,4.98,4.99,4.96,4.88,1.0,District 18,Entire home/apt,4,1 bath,2.0,2.0,"[""Microwave"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Fast wifi \u2013 391 Mbps"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""First aid kit"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smart lock"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$81.00,2,30,1,bath,0,0
District 12,4.77,4.81,4.4,4.92,4.9,4.74,4.73,1.0,District 12,Private room,2,1 private bath,1.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Indoor fireplace"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Single level home"", ""Heating"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Fireplace guards"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Long term stays allowed""]",$36.00,30,365,1,private,bath,1
District 12,4.71,4.75,4.27,4.83,4.78,4.47,4.69,1.0,District 12,Private room,1,1 shared bath,1.0,3.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Indoor fireplace"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Single level home"", ""Heating"", ""Stove"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Hot tub"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$34.00,30,365,1,shared,bath,1
District 12,4.73,4.6,4.43,4.77,4.68,4.62,4.57,1.0,District 12,Private room,3,1 private bath,1.0,5.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Patio or balcony"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Breakfast"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Fireplace guards"", ""Hot tub"", ""Children\u2019s books and toys"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$39.00,30,365,1,private,bath,1
District 19,4.89,4.92,4.93,4.94,4.94,4.56,4.88,0.98,District 19,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Single level home"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed"", ""Shower gel""]",$92.00,2,30,1,bath,0,0
District 12,4.84,4.75,4.5,4.88,4.96,4.63,4.87,1.0,District 12,Private room,3,1 shared bath,1.0,3.0,"[""Keypad"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Indoor fireplace"", ""Hangers"", ""Heating"", ""Free street parking"", ""Breakfast"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Hot tub"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Air conditioning"", ""Smoke alarm"", ""Long term stays allowed""]",$34.00,30,365,1,shared,bath,1
District 6,4.87,4.95,4.94,4.97,4.96,4.67,4.82,1.0,District 6,Private room,2,1 private bath,1.0,1.0,"[""Microwave"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm""]",$84.00,1,5,1,private,bath,1
District 19,4.95,4.97,4.98,4.97,4.96,4.79,4.93,0.98,District 19,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Wifi"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Clothing storage: closet"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""First aid kit"", ""Cleaning products"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Coffee maker"", ""Air conditioning"", ""Smart lock"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$76.00,2,60,1,bath,0,0
